Pre_Loom_300,Pre_Loom_800,Pre_Loom_1500,Pre_Loom_2200,Pre_Loom_2700,Post_Loom_300,Post_Loom_800,Post_Loom_1500,Post_Loom_2200,Post_Loom_2700,CP_pre,CP_post,Slope_pre,Slope_post
358,305,289,256,271,346,288,254,267,264,1030,780,-0.059,-0.609
310,298,291,267,253,360,293,295,278,264,1707,893,-0.034,-0.052
296,296,272,266,266,330,278,266,258,279,1343,738,-0.062,-0.286
232,221,185,182,165,238,224,213,201,194,1338,1318,-0.042,-0.024
290,256,236,242,217,262,209,212,186,181,1160,964,-0.032,-0.042
503,503,466,423,403,410,366,379,321,297,1695,1617,-0.138,-0.049
388,306,344,307,307,326,308,286,275,297,551,1087,-1.005,-0.036
272,279,244,224,228,286,248,237,221,223,1448,847,-0.141,-0.053
285,275,249,254,225,272,256,255,256,256,1633,694,-0.026,-0.121
359,354,333,306,328,345,330,312,293,297,1558,1246,-0.032,-0.036
385,430,364,328,319,500,433,341,327,340,1378,907,-0.068,-0.215
272,279,244,224,228,286,248,237,221,223,1448,725,-0.141,-0.053
293,277,242,249,242,291,264,255,271,263,867,756,-0.150,-0.219
338,377,328,319,286,461,403,332,343,307,1536,1033,-0.034,-0.116
300,268,253,249,253,262,252,254,244,249,756,1243,-0.168,-0.007
316,344,297,280,271,327,318,290,266,269,1352,1352,-0.043,-0.054
333,344,319,296,309,338,337,318,297,318,1488,1630,-0.041,-0.022
406,401,381,331,349,432,377,368,360,368,1626,734,-0.092,-0.332
285,301,304,275,283,390,326,292,320,328,1662,772,-0.007,-0.578
346,334,320,282,297,322,284,277,278,317,1552,732,-0.044,-0.288
387,353,373,326,338,376,337,348,356,321,1439,1415,-0.024,-0.013
346,338,293,260,308,314,325,230,208,242,1523,1402,-0.040,-0.440
318,318,289,208,256,339,287,254,292,253,1666,775,-0.167,-0.397
319,279,298,273,253,283,264,269,276,256,1457,1558,-0.025,-0.022
358,406,345,310,326,299,338,306,300,311,1250,551,-0.042,-0.485
293,308,263,259,281,299,296,271,283,274,1333,934,-0.189,-0.120
